2024-01-28T08:00:00.000000,3685.7746478618046,3685.774647894004
2024-01-28T09:00:00.000000,3826.365923642415,3826.366001804971
2024-01-28T10:00:00.000000,4029.8190949281425,4029.8220470943434
2024-01-28T11:00:00.000000,4056.4111663333483,4056.4183488257495
2024-01-28T12:00:00.000000,3692.5157544370054,3692.5264510220723
2024-01-28T13:00:00.000000,3790.5156957481945,3790.5211362573937
2024-01-28T14:00:00.000000,4044.9561936349564,4044.958635853661
2024-01-28T15:00:00.000000,4166.019679341192,4166.021516020728
2024-01-28T16:00:00.000000,3805.5742595074153,3805.5755061459286
2024-01-28T17:00:00.000000,4157.587291915179,4157.587461670527
2024-01-28T18:00:00.000000,4143.025591253948,4143.025591639975
