data_key,data_period,Prorrata
547,9,22.9
547,10,19.400153134409695
547,11,18.22120422940136
547,12,17.316997225120172
547,13,15.130531320366917
547,14,15.09511371246844
547,15,15.04887980384464
547,16,15.485461262096432
547,17,14.668121433385949
547,18,16.957945144720856
547,19,19.179097393708393
561,9,50.0
561,10,41.90901722344874
561,11,39.18351075096842
561,12,37.09315549285571
561,13,32.038460628687304
561,14,31.956581830414557
561,15,31.849697794416958
561,16,32.858991399233325
561,17,30.96945659080951
561,18,39.263095118798226
561,19,44.39797823821294
575,9,3.5
575,10,1.7966352049365804
589,9,2.75
589,10,1.3305293374471503
589,11,0.8523703071874416
589,12,0.48564131453608866
589,13,0.0
589,14,0.0
589,15,0.0
589,16,0.0
589,17,0.0
589,18,0.34001668750845837
589,19,1.240873375125079
603,9,14.0
603,10,11.189448088145356
617,9,17.4
617,10,13.751960397239175
617,11,12.523091689471723
617,12,11.580598178357747
617,13,9.301551546618661
617,14,9.264634263888663
617,15,9.216442689763435
617,16,9.671510157198183
617,17,8.819562006733406
617,18,11.20634288689674
617,19,13.521544574071449
645,9,7.0
645,10,5.560656748171411
645,11,5.075803491488066
645,12,1.703940292939594
645,13,0.8047366802612154
645,14,0.7901708729895347
645,15,0.7711567655331215
645,16,0.9507047857583488
645,17,0.6145664882597968
645,18,1.556276921133577
645,19,2.4697456023768294
673,9,8.0
687,9,9.0
687,10,6.2462269146474725
687,11,5.318598395943637
687,12,4.607144150200013
687,13,2.8867743192374355
687,14,2.8589067984217937
687,15,2.8225287230120877
687,16,3.166042686756604
687,17,2.5229378572228858
687,18,4.324632373766409
687,19,6.072294347742651
715,9,8.0
715,10,5.303005741149588
743,9,57.0
743,10,48.483176024682905
743,11,45.61422184312466
743,12,43.413847887216534
743,13,38.0931164512498
743,14,38.006928242541626
743,15,37.89441873096521
743,16,38.95683305182455
743,17,36.967849042957376
743,18,42.54010012505075
743,19,47.94524025075047
771,9,13.0
771,10,7.025482144852022
771,11,4.686636860124837
771,12,3.659795680701047
771,13,1.1767876772499057
771,14,1.136566513186094
771,15,1.0840620744504346
771,16,1.5798554241847902
771,17,0.6516628867134424
771,18,3.2520467250236855
771,19,5.774445450350219
785,9,2.1
785,10,0.0
785,11,0.0
785,12,0.0
785,13,0.0
785,14,0.0
785,15,0.0
785,16,0.0
785,17,0.0
785,18,0.0
785,19,0.0
799,9,40.0
799,10,32.19291135595933
799,11,29.56303668953093
799,12,27.54602722994849
799,13,22.668690080312313
799,14,22.589684222329822
799,15,22.486550503384787
799,16,23.46043029750584
799,17,21.637194956044258
799,18,26.745091781296523
799,19,31.699803563187935
827,9,24.0
827,10,19.45769387983088
827,11,16.927584982999807
827,12,15.75405220651548
827,13,12.91632877399989
827,14,12.870361729355533
827,15,12.81035665651478
827,16,13.37697762763976
827,17,13.316186156243933
827,18,16.28805340002707
827,19,19.17079480040025
841,9,0.5
841,10,0.2913378126047312
841,11,0.2210484351565538
841,12,0.16713927323680505
841,13,0.0367813530556201
841,14,0.034669741942269905
841,15,0.03191325890864785
841,16,0.05794240976970146
841,17,0.00921230155245575
841,18,0.14573245306374338
841,19,0.2781583861433865
869,9,130.0
869,10,106.8342387871375
869,11,99.03068341329904
869,12,93.04566625322896
869,13,78.57327674739946
869,14,78.33884481971323
869,15,78.0328189482254
869,16,80.92258590096276
869,17,75.51254939684407
869,18,90.66907234013804
869,19,105.37105348204125
925,9,19.0
925,10,16.303005741149587
925,11,15.394503583656139
925,12,14.697718497618567
925,13,13.012820209562435
